Permit Type,Housing Units,Zip Code
R- 101 Single Family Houses,"3,373",78747
R- 102 Secondary Apartment,1,78747
R- 103 Two Family Bldgs,166,78747
C- 101 Single Family Houses,572,78748
C- 103 Two Family Bldgs,38,78748
C- 104 Three & Four Family Bldgs,309,78748
C- 105 Five or More Family Bldgs,"5,963",78748
C- 106 Mixed Use,2,78748
R- 101 Single Family Houses,"3,700",78748
R- 102 Secondary Apartment,1,78748
R- 103 Two Family Bldgs,100,78748
C- 104 Three & Four Family Bldgs,6,78749
C- 105 Five or More Family Bldgs,"1,391",78749
R- 101 Single Family Houses,134,78749
R- 102 Secondary Apartment,1,78749
R- 103 Two Family Bldgs,26,78749
C- 101 Single Family Houses,142,78750
C- 103 Two Family Bldgs,194,78750
C- 104 Three & Four Family Bldgs,8,78750
C- 105 Five or More Family Bldgs,635,78750
R- 101 Single Family Houses,137,78750
R- 102 Secondary Apartment,1,78750
R- 103 Two Family Bldgs,76,78750
C- 104 Three & Four Family Bldgs,4,78751
C- 105 Five or More Family Bldgs,"1,835",78751
C- 106 Mixed Use,72,78751
R- 101 Single Family Houses,248,78751
R- 102 Secondary Apartment,173,78751
R- 103 Two Family Bldgs,164,78751
C- 103 Two Family Bldgs,4,78752
C- 104 Three & Four Family Bldgs,8,78752
C- 105 Five or More Family Bldgs,"2,115",78752
R- 101 Single Family Houses,139,78752
R- 102 Secondary Apartment,106,78752
R- 103 Two Family Bldgs,126,78752
C- 103 Two Family Bldgs,25,78753
C- 104 Three & Four Family Bldgs,51,78753
C- 105 Five or More Family Bldgs,"5,190",78753
R- 101 Single Family Houses,651,78753
R- 102 Secondary Apartment,7,78753
R- 103 Two Family Bldgs,50,78753
C- 104 Three & Four Family Bldgs,24,78754
C- 105 Five or More Family Bldgs,"3,332",78754
R- 101 Single Family Houses,"3,208",78754
C- 101 Single Family Houses,23,78756
C- 104 Three & Four Family Bldgs,,78756
C- 105 Five or More Family Bldgs,757,78756
C- 106 Mixed Use,89,78756
R- 101 Single Family Houses,239,78756
R- 102 Secondary Apartment,62,78756
R- 103 Two Family Bldgs,152,78756
C- 105 Five or More Family Bldgs,799,78757
C- 106 Mixed Use,344,78757
R- 101 Single Family Houses,716,78757
R- 102 Secondary Apartment,204,78757
R- 103 Two Family Bldgs,226,78757
C- 101 Single Family Houses,22,78758
C- 103 Two Family Bldgs,4,78758
C- 105 Five or More Family Bldgs,"4,931",78758
C- 106 Mixed Use,281,78758
R- 101 Single Family Houses,128,78758
R- 102 Secondary Apartment,4,78758
R- 103 Two Family Bldgs,12,78758
C- 101 Single Family Houses,3,78759
C- 105 Five or More Family Bldgs,"1,168",78759
R- 101 Single Family Houses,168,78759
R- 102 Secondary Apartment,4,78759
R- 103 Two Family Bldgs,12,78759
R- 102 Secondary Apartment,1,
